Date,Category,Product,Revenue,Expense,Quantity
2026-01-01,Electronics,Laptop,52000,43000,2
2026-01-02,Grocery,Rice,2500,1700,60
2026-01-03,Clothing,Shirt,1800,1000,12
2026-01-04,Electronics,Mobile,32000,26000,3
2026-01-05,Grocery,Oil,2700,2000,45
2026-01-06,Clothing,Jeans,4200,2600,9
2026-01-07,Electronics,Headphones,9000,5500,18
2026-01-08,Grocery,Sugar,2100,1400,38
2026-01-09,Clothing,Jacket,6500,4200,6
2026-01-10,Electronics,Tablet,21000,17000,4
2026-01-11,Grocery,Milk,3000,2200,70
2026-01-12,Clothing,T-shirt,2200,1300,20
2026-01-13,Electronics,Smartwatch,15000,11000,7
2026-01-14,Grocery,Bread,1800,1200,55
2026-01-15,Clothing,Sweater,4800,3000,8
2026-02-01,Electronics,Laptop,55000,44000,2
2026-02-02,Grocery,Rice,2600,1800,62
2026-02-03,Clothing,Shirt,1900,1100,14
2026-02-04,Electronics,Mobile,35000,28000,3
2026-02-05,Grocery,Oil,2900,2100,48
2026-02-06,Clothing,Jeans,4500,2700,10
2026-02-07,Electronics,Headphones,9500,5800,20
2026-02-08,Grocery,Sugar,2300,1500,40
2026-02-09,Clothing,Jacket,7000,4500,7
2026-02-10,Electronics,Tablet,23000,18000,5
2026-02-11,Grocery,Milk,3200,2300,75
2026-02-12,Clothing,T-shirt,2500,1500,22
2026-02-13,Electronics,Smartwatch,17000,12000,8
2026-02-14,Grocery,Bread,2000,1300,60
2026-02-15,Clothing,Sweater,5000,3200,9
2026-03-01,Electronics,Laptop,58000,46000,2
2026-03-02,Grocery,Rice,2800,1900,65
2026-03-03,Clothing,Shirt,2100,1200,15
2026-03-04,Electronics,Mobile,37000,30000,4
2026-03-05,Grocery,Oil,3000,2200,50
2026-03-06,Clothing,Jeans,4700,2900,11
2026-03-07,Electronics,Headphones,10000,6000,22
2026-03-08,Grocery,Sugar,2400,1600,45
2026-03-09,Clothing,Jacket,7200,4700,8
2026-03-10,Electronics,Tablet,25000,20000,5
2026-03-11,Grocery,Milk,3400,2400,80
2026-03-12,Clothing,T-shirt,2700,1600,25
2026-03-13,Electronics,Smartwatch,18000,13000,9
2026-03-14,Grocery,Bread,2100,1400,65
2026-03-15,Clothing,Sweater,5200,3400,10
2026-04-01,Electronics,Laptop,60000,48000,3
2026-04-02,Grocery,Rice,3000,2000,70
2026-04-03,Clothing,Shirt,2300,1300,18
2026-04-04,Electronics,Mobile,40000,32000,4
2026-04-05,Grocery,Oil,3200,2300,55
2026-04-06,Clothing,Jeans,5000,3100,12
2026-04-07,Electronics,Headphones,11000,6500,25
2026-04-08,Grocery,Sugar,2600,1700,48
2026-04-09,Clothing,Jacket,7500,4900,9
2026-04-10,Electronics,Tablet,27000,21000,6
2026-04-11,Grocery,Milk,3600,2600,85
2026-04-12,Clothing,T-shirt,2900,1700,28
2026-04-13,Electronics,Smartwatch,20000,14000,10
2026-04-14,Grocery,Bread,2300,1500,70
2026-04-15,Clothing,Sweater,5500,3600,12
